, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.35,0.0,0.49,0.37,0.0,0.4,0.0,0.0,0.0,0.17,0.13,0.17,0.0,0.0,0.0,0.21,0.03
12,0.75,0.0,1.01,0.66,0.0,0.81,0.0,0.0,0.0,0.4,0.27,0.38,0.0,0.0,0.0,0.49,0.03
13,1.15,0.0,1.53,0.95,0.0,1.21,0.0,0.0,0.0,0.61,0.37,0.58,0.0,0.0,0.0,0.76,0.05
14,1.2,0.0,1.57,0.93,0.0,1.29,0.0,0.0,0.0,0.69,0.31,0.65,0.0,0.0,0.0,0.81,0.07
15,1.18,0.0,1.62,1.01,0.0,1.35,0.0,0.0,0.0,0.66,0.29,0.61,0.0,0.0,0.0,0.8,0.1
16,1.17,0.0,1.67,1.06,0.0,1.35,0.0,0.0,0.0,0.71,0.28,0.61,0.0,0.0,0.0,0.81,0.12
17,1.17,0.0,1.65,0.9,0.0,1.24,0.0,0.0,0.0,0.68,0.37,0.57,0.0,0.0,0.0,0.8,0.11
18,1.15,0.0,1.56,0.76,0.0,1.09,0.0,0.0,0.0,0.7,0.4,0.61,0.0,0.0,0.0,0.77,0.17
19,1.18,0.0,1.53,0.61,0.0,1.03,0.0,0.0,0.0,0.64,0.41,0.61,0.0,0.0,0.0,0.79,0.15
20,1.2,0.0,1.51,0.7,0.0,1.03,0.0,0.0,0.0,0.67,0.4,0.61,0.0,0.0,0.0,0.75,0.1
21,1.26,0.0,1.5,0.7,0.0,1.16,0.0,0.0,0.0,0.71,0.37,0.58,0.0,0.0,0.0,0.73,0.01
22,1.27,0.0,1.5,0.71,0.0,1.24,0.0,0.0,0.0,0.75,0.46,0.52,0.0,0.0,0.0,0.67,0.0
23,1.23,0.0,1.52,0.62,0.0,1.27,0.0,0.0,0.0,0.72,0.49,0.45,0.0,0.0,0.0,0.72,0.03
24,1.19,0.0,1.55,0.63,0.0,1.29,0.0,0.0,0.0,0.69,0.59,0.39,0.0,0.0,0.0,0.71,0.09
25,1.1,0.0,1.57,0.64,0.0,1.29,0.0,0.0,0.0,0.67,0.6,0.38,0.0,0.0,0.0,0.69,0.17
26,1.06,0.0,1.54,0.71,0.0,1.31,0.0,0.0,0.0,0.64,0.59,0.34,0.0,0.0,0.0,0.7,0.19
27,1.02,0.0,1.5,0.71,0.0,1.3,0.0,0.0,0.0,0.66,0.57,0.34,0.0,0.0,0.0,0.76,0.24
