, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.12,0.03,0.24,0.0,0.06,0.31,0.0,0.0,0.3,0.63,0.0,0.32,0.16,0.06,0.0,0.0,0.0
12,0.27,0.2,0.48,0.0,0.11,0.63,0.0,0.0,0.57,1.19,0.05,0.63,0.39,0.1,0.0,0.0,0.0
13,0.39,0.31,0.72,0.0,0.11,0.98,0.0,0.0,0.79,1.76,0.05,0.92,0.58,0.13,0.0,0.0,0.0
14,0.4,0.34,0.73,0.0,0.08,1.17,0.0,0.0,0.68,1.7,0.09,0.87,0.48,0.07,0.0,0.0,0.0
15,0.37,0.2,0.71,0.0,0.03,1.19,0.0,0.0,0.59,1.68,0.1,0.82,0.29,0.03,0.0,0.0,0.0
16,0.38,0.1,0.74,0.0,0.03,1.22,0.0,0.0,0.51,1.61,0.2,0.8,0.11,0.0,0.0,0.02,0.0
17,0.41,0.08,0.79,0.0,0.0,1.13,0.0,0.0,0.46,1.53,0.34,0.8,0.05,0.0,0.0,0.03,0.0
18,0.45,0.12,0.78,0.0,0.0,1.24,0.0,0.0,0.42,1.42,0.39,0.82,0.0,0.0,0.0,0.03,0.0
19,0.44,0.12,0.8,0.0,0.0,1.21,0.0,0.0,0.36,1.28,0.4,0.85,0.0,0.0,0.0,0.04,0.0
20,0.4,0.13,0.76,0.0,0.0,1.21,0.0,0.0,0.3,1.12,0.31,0.87,0.0,0.0,0.0,0.02,0.0
21,0.38,0.15,0.8,0.0,0.0,1.18,0.0,0.0,0.27,1.11,0.24,0.86,0.0,0.0,0.0,0.02,0.0
22,0.44,0.29,0.83,0.0,0.0,1.32,0.0,0.0,0.26,1.12,0.27,0.83,0.0,0.0,0.0,0.0,0.0
23,0.54,0.38,0.86,0.0,0.0,1.35,0.0,0.0,0.24,1.1,0.32,0.83,0.0,0.0,0.0,0.04,0.0
24,0.6,0.42,0.92,0.0,0.0,1.41,0.0,0.0,0.18,1.04,0.38,0.87,0.0,0.0,0.0,0.1,0.0
25,0.62,0.45,0.95,0.0,0.0,1.37,0.0,0.0,0.15,0.98,0.41,0.86,0.0,0.0,0.0,0.15,0.0
26,0.69,0.45,1.07,0.0,0.0,1.41,0.0,0.0,0.12,0.98,0.42,0.88,0.0,0.0,0.0,0.22,0.0
27,0.73,0.52,1.11,0.0,0.0,1.47,0.0,0.0,0.12,0.94,0.48,0.84,0.0,0.0,0.02,0.24,0.0
