, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.28,0.47,0.0,0.0,0.08,0.0,0.0,0.12,0.0,0.0,0.53,0.19,0.07
12,0.0,0.0,0.0,0.0,0.56,0.98,0.0,0.0,0.17,0.04,0.0,0.2,0.01,0.0,1.01,0.33,0.09
13,0.0,0.0,0.0,0.0,0.86,1.4,0.0,0.0,0.28,0.11,0.0,0.42,0.14,0.0,1.52,0.54,0.09
14,0.0,0.0,0.0,0.0,0.89,1.43,0.0,0.0,0.3,0.11,0.0,0.43,0.25,0.0,1.43,0.55,0.02
15,0.0,0.0,0.0,0.0,0.89,1.37,0.0,0.0,0.32,0.09,0.0,0.55,0.26,0.0,1.28,0.55,0.0
16,0.0,0.0,0.0,0.0,0.86,1.43,0.0,0.0,0.37,0.01,0.0,0.49,0.28,0.0,1.3,0.58,0.0
17,0.0,0.0,0.09,0.0,0.83,1.36,0.0,0.0,0.41,0.01,0.0,0.47,0.31,0.0,1.42,0.69,0.0
18,0.0,0.0,0.14,0.0,0.83,1.46,0.0,0.0,0.44,0.0,0.0,0.32,0.44,0.0,1.58,0.78,0.0
19,0.0,0.0,0.18,0.0,0.84,1.44,0.0,0.0,0.47,0.0,0.0,0.33,0.39,0.0,1.54,0.83,0.0
20,0.0,0.0,0.12,0.0,0.83,1.46,0.0,0.0,0.5,0.0,0.0,0.38,0.41,0.0,1.45,0.77,0.0
21,0.0,0.0,0.07,0.0,0.86,1.52,0.0,0.0,0.5,0.06,0.0,0.44,0.51,0.0,1.44,0.76,0.0
22,0.0,0.0,0.03,0.0,0.88,1.69,0.0,0.0,0.51,0.08,0.0,0.44,0.68,0.0,1.24,0.71,0.0
23,0.0,0.0,0.02,0.0,0.92,1.84,0.0,0.0,0.52,0.1,0.0,0.42,0.79,0.0,1.14,0.73,0.0
24,0.0,0.0,0.03,0.0,0.94,1.81,0.0,0.0,0.56,0.07,0.0,0.43,0.79,0.0,0.99,0.79,0.0
25,0.0,0.0,0.03,0.0,0.98,1.74,0.0,0.0,0.58,0.14,0.0,0.38,0.77,0.0,1.01,0.79,0.0
26,0.0,0.0,0.0,0.0,1.0,1.73,0.0,0.0,0.59,0.19,0.0,0.37,0.74,0.0,0.89,0.72,0.0
27,0.0,0.0,0.01,0.0,1.0,1.59,0.0,0.0,0.57,0.17,0.0,0.35,0.71,0.0,0.92,0.64,0.0
