, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.17,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.16,0.45,0.0,0.03,0.13,0.08,0.0
12,0.35,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.31,0.91,0.0,0.04,0.28,0.22,0.0
13,0.55,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.43,1.33,0.0,0.04,0.43,0.39,0.16
14,0.56,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.39,1.33,0.0,0.01,0.47,0.47,0.65
15,0.59,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.4,1.3,0.0,0.0,0.49,0.5,1.16
16,0.55,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.3,1.21,0.0,0.0,0.49,0.67,1.57
17,0.56,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.27,1.13,0.01,0.0,0.44,0.78,1.62
18,0.67,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.18,1.11,0.01,0.0,0.4,0.75,1.72
19,0.7,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.3,1.27,0.01,0.0,0.3,0.55,1.62
20,0.72,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.35,0.0,0.0,0.27,0.44,1.58
21,0.6,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.31,1.41,0.0,0.0,0.23,0.53,1.06
22,0.65,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.22,1.44,0.0,0.0,0.25,0.61,0.59
23,0.68,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.13,1.5,0.0,0.0,0.24,0.62,0.1
24,0.63,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.44,0.0,0.0,0.19,0.53,0.01
25,0.52,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.35,0.0,0.0,0.15,0.42,0.01
26,0.36,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.17,1.36,0.0,0.0,0.09,0.29,0.0
27,0.33,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.19,1.35,0.0,0.0,0.14,0.2,0.0
