, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.13,0.18,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.42,0.72,0.0,0.29,0.01,0.0,0.0
12,0.34,0.33,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.76,1.39,0.0,0.44,0.06,0.0,0.0
13,0.55,0.51,0.06,0.0,0.0,0.59,0.0,0.0,0.0,0.0,1.13,2.05,0.0,0.58,0.08,0.0,0.0
14,0.61,0.49,0.09,0.0,0.0,0.69,0.0,0.0,0.0,0.0,1.05,1.95,0.0,0.42,0.14,0.0,0.0
15,0.62,0.6,0.14,0.0,0.0,0.73,0.0,0.0,0.0,0.0,1.04,1.94,0.0,0.39,0.09,0.0,0.0
16,0.63,0.73,0.16,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.04,1.91,0.0,0.35,0.1,0.0,0.0
17,0.63,0.79,0.21,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.1,1.91,0.0,0.33,0.09,0.0,0.0
18,0.6,0.63,0.28,0.0,0.0,0.87,0.0,0.0,0.0,0.0,1.1,1.9,0.0,0.34,0.08,0.0,0.0
19,0.57,0.45,0.3,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.08,1.94,0.0,0.37,0.05,0.0,0.0
20,0.53,0.36,0.33,0.0,0.0,0.99,0.0,0.0,0.0,0.0,1.05,2.0,0.0,0.41,0.01,0.0,0.0
21,0.49,0.37,0.32,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.1,2.0,0.0,0.43,0.01,0.0,0.0
22,0.47,0.38,0.31,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.14,2.06,0.0,0.46,0.01,0.0,0.0
23,0.49,0.45,0.32,0.0,0.0,0.94,0.0,0.0,0.0,0.0,1.12,2.09,0.0,0.5,0.01,0.0,0.0
24,0.52,0.5,0.29,0.0,0.0,0.92,0.0,0.0,0.0,0.0,1.12,2.16,0.0,0.52,0.0,0.0,0.0
25,0.47,0.47,0.32,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.05,2.16,0.0,0.53,0.0,0.0,0.0
26,0.49,0.43,0.33,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.02,2.21,0.0,0.53,0.0,0.0,0.0
27,0.44,0.31,0.36,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.98,2.18,0.0,0.56,0.0,0.0,0.0
