, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4,0.51,0.0,0.03,0.0,0.0,0.0,0.24,0.02,0.0,0.11,0.57,0.21,0.11,0.0,0.0,0.0
12,0.9,1.01,0.0,0.03,0.0,0.0,0.0,0.45,0.03,0.0,0.28,1.19,0.41,0.18,0.0,0.0,0.0
13,1.37,1.35,0.0,0.08,0.0,0.0,0.0,0.67,0.06,0.0,0.37,1.81,0.61,0.27,0.0,0.0,0.0
14,1.41,1.3,0.0,0.11,0.0,0.0,0.0,0.58,0.05,0.0,0.38,1.86,0.56,0.26,0.0,0.0,0.0
15,1.41,1.31,0.0,0.11,0.0,0.0,0.0,0.56,0.05,0.0,0.33,1.88,0.52,0.3,0.0,0.0,0.0
16,1.43,1.4,0.0,0.1,0.0,0.0,0.0,0.49,0.06,0.0,0.31,1.91,0.47,0.3,0.0,0.0,0.0
17,1.49,1.4,0.0,0.08,0.0,0.0,0.0,0.45,0.11,0.0,0.29,1.86,0.55,0.28,0.0,0.0,0.0
18,1.41,1.35,0.0,0.08,0.0,0.0,0.0,0.37,0.14,0.0,0.25,1.77,0.59,0.25,0.0,0.0,0.0
19,1.44,1.41,0.0,0.05,0.0,0.0,0.0,0.35,0.16,0.0,0.27,1.68,0.63,0.24,0.0,0.0,0.0
20,1.42,1.39,0.0,0.08,0.0,0.0,0.0,0.43,0.17,0.0,0.25,1.6,0.65,0.22,0.0,0.0,0.0
21,1.51,1.48,0.0,0.11,0.0,0.0,0.0,0.48,0.17,0.0,0.23,1.56,0.69,0.22,0.0,0.0,0.0
22,1.5,1.55,0.0,0.11,0.0,0.0,0.0,0.53,0.15,0.0,0.2,1.51,0.73,0.22,0.0,0.0,0.0
23,1.52,1.68,0.0,0.03,0.0,0.0,0.0,0.46,0.09,0.0,0.29,1.57,0.78,0.25,0.0,0.0,0.0
24,1.55,1.73,0.0,0.0,0.0,0.0,0.0,0.43,0.05,0.0,0.41,1.54,0.77,0.26,0.0,0.0,0.0
25,1.57,1.69,0.0,0.0,0.0,0.0,0.0,0.35,0.01,0.0,0.5,1.54,0.79,0.29,0.0,0.0,0.0
26,1.63,1.73,0.0,0.0,0.0,0.0,0.0,0.35,0.02,0.0,0.54,1.47,0.69,0.29,0.0,0.0,0.0
27,1.55,1.63,0.0,0.0,0.0,0.0,0.0,0.33,0.02,0.0,0.54,1.51,0.66,0.29,0.0,0.0,0.0
